geoName,abnormal
Alabama,80
Alaska,48
Arizona,65
Arkansas,82
California,55
Colorado,52
Connecticut,69
Delaware,72
District of Columbia,58
Florida,70
Georgia,67
Hawaii,59
Idaho,59
Illinois,59
Indiana,76
Iowa,59
Kansas,57
Kentucky,65
Louisiana,81
Maine,61
Maryland,66
Massachusetts,52
Michigan,64
Minnesota,59
Mississippi,100
Missouri,67
Montana,55
Nebraska,61
Nevada,56
New Hampshire,62
New Jersey,68
New Mexico,59
New York,58
North Carolina,68
North Dakota,57
Ohio,69
Oklahoma,69
Oregon,44
Pennsylvania,65
Rhode Island,68
South Carolina,69
South Dakota,86
Tennessee,82
Texas,63
Utah,54
Vermont,56
Virginia,47
Washington,48
West Virginia,84
Wisconsin,60
Wyoming,78
