date,alcohol,isPartial
2015-01-04,72,False
2015-01-11,72,False
2015-01-18,75,False
2015-01-25,73,False
2015-02-01,72,False
2015-02-08,70,False
2015-02-15,71,False
2015-02-22,75,False
2015-03-01,74,False
2015-03-08,81,False
2015-03-15,79,False
2015-03-22,76,False
2015-03-29,74,False
2015-04-05,75,False
2015-04-12,76,False
2015-04-19,77,False
2015-04-26,75,False
2015-05-03,74,False
2015-05-10,76,False
2015-05-17,78,False
2015-05-24,78,False
2015-05-31,77,False
2015-06-07,79,False
2015-06-14,72,False
2015-06-21,74,False
2015-06-28,82,False
2015-07-05,77,False
2015-07-12,78,False
2015-07-19,79,False
2015-07-26,81,False
2015-08-02,80,False
2015-08-09,75,False
2015-08-16,81,False
2015-08-23,77,False
2015-08-30,77,False
2015-09-06,80,False
2015-09-13,76,False
2015-09-20,77,False
2015-09-27,79,False
2015-10-04,79,False
2015-10-11,77,False
2015-10-18,78,False
2015-10-25,83,False
2015-11-01,79,False
2015-11-08,75,False
2015-11-15,78,False
2015-11-22,80,False
2015-11-29,76,False
2015-12-06,79,False
2015-12-13,79,False
2015-12-20,87,False
2015-12-27,100,False
