geoName,debilitating
Alabama,57
Alaska,0
Arizona,72
Arkansas,84
California,62
Colorado,75
Connecticut,100
Delaware,33
District of Columbia,72
Florida,74
Georgia,67
Hawaii,94
Idaho,48
Illinois,54
Indiana,71
Iowa,61
Kansas,66
Kentucky,63
Louisiana,37
Maine,63
Maryland,66
Massachusetts,68
Michigan,66
Minnesota,65
Mississippi,98
Missouri,62
Montana,60
Nebraska,49
Nevada,44
New Hampshire,58
New Jersey,51
New Mexico,85
New York,59
North Carolina,58
North Dakota,88
Ohio,59
Oklahoma,49
Oregon,38
Pennsylvania,57
Rhode Island,34
South Carolina,55
South Dakota,0
Tennessee,47
Texas,47
Utah,64
Vermont,0
Virginia,54
Washington,57
West Virginia,55
Wisconsin,61
Wyoming,0
