date,drugs,isPartial
2011-01-02,79,False
2011-01-09,73,False
2011-01-16,79,False
2011-01-23,82,False
2011-01-30,79,False
2011-02-06,77,False
2011-02-13,79,False
2011-02-20,80,False
2011-02-27,100,False
2011-03-06,85,False
2011-03-13,78,False
2011-03-20,81,False
2011-03-27,84,False
2011-04-03,85,False
2011-04-10,83,False
2011-04-17,81,False
2011-04-24,79,False
2011-05-01,79,False
2011-05-08,76,False
2011-05-15,74,False
2011-05-22,73,False
2011-05-29,75,False
2011-06-05,70,False
2011-06-12,68,False
2011-06-19,70,False
2011-06-26,66,False
2011-07-03,66,False
2011-07-10,66,False
2011-07-17,67,False
2011-07-24,75,False
2011-07-31,64,False
2011-08-07,63,False
2011-08-14,63,False
2011-08-21,60,False
2011-08-28,65,False
2011-09-04,63,False
2011-09-11,67,False
2011-09-18,68,False
2011-09-25,70,False
2011-10-02,71,False
2011-10-09,75,False
2011-10-16,76,False
2011-10-23,81,False
2011-10-30,86,False
2011-11-06,77,False
2011-11-13,79,False
2011-11-20,66,False
2011-11-27,76,False
2011-12-04,76,False
2011-12-11,75,False
2011-12-18,63,False
2011-12-25,56,False
