geoName,inconsolable
Alabama,26
Alaska,0
Arizona,60
Arkansas,50
California,56
Colorado,53
Connecticut,67
Delaware,0
District of Columbia,26
Florida,40
Georgia,58
Hawaii,36
Idaho,44
Illinois,59
Indiana,56
Iowa,21
Kansas,88
Kentucky,38
Louisiana,35
Maine,0
Maryland,36
Massachusetts,53
Michigan,52
Minnesota,41
Mississippi,76
Missouri,65
Montana,0
Nebraska,79
Nevada,47
New Hampshire,58
New Jersey,44
New Mexico,19
New York,48
North Carolina,37
North Dakota,0
Ohio,52
Oklahoma,81
Oregon,57
Pennsylvania,57
Rhode Island,25
South Carolina,32
South Dakota,0
Tennessee,100
Texas,54
Utah,18
Vermont,0
Virginia,58
Washington,50
West Virginia,50
Wisconsin,39
Wyoming,0
