geoName,lonely
Alabama,63
Alaska,100
Arizona,62
Arkansas,76
California,74
Colorado,71
Connecticut,70
Delaware,70
District of Columbia,72
Florida,62
Georgia,61
Hawaii,81
Idaho,75
Illinois,65
Indiana,70
Iowa,60
Kansas,69
Kentucky,66
Louisiana,66
Maine,69
Maryland,65
Massachusetts,72
Michigan,68
Minnesota,66
Mississippi,63
Missouri,65
Montana,73
Nebraska,69
Nevada,65
New Hampshire,76
New Jersey,64
New Mexico,79
New York,77
North Carolina,65
North Dakota,69
Ohio,63
Oklahoma,68
Oregon,81
Pennsylvania,70
Rhode Island,85
South Carolina,71
South Dakota,59
Tennessee,62
Texas,70
Utah,66
Vermont,89
Virginia,72
Washington,76
West Virginia,78
Wisconsin,68
Wyoming,65
