date,medication,isPartial
2015-01-04,88,False
2015-01-11,88,False
2015-01-18,87,False
2015-01-25,90,False
2015-02-01,86,False
2015-02-08,90,False
2015-02-15,84,False
2015-02-22,89,False
2015-03-01,89,False
2015-03-08,90,False
2015-03-15,90,False
2015-03-22,91,False
2015-03-29,85,False
2015-04-05,90,False
2015-04-12,90,False
2015-04-19,90,False
2015-04-26,89,False
2015-05-03,85,False
2015-05-10,88,False
2015-05-17,87,False
2015-05-24,83,False
2015-05-31,92,False
2015-06-07,91,False
2015-06-14,88,False
2015-06-21,92,False
2015-06-28,88,False
2015-07-05,94,False
2015-07-12,95,False
2015-07-19,95,False
2015-07-26,90,False
2015-08-02,93,False
2015-08-09,92,False
2015-08-16,94,False
2015-08-23,96,False
2015-08-30,97,False
2015-09-06,93,False
2015-09-13,97,False
2015-09-20,99,False
2015-09-27,95,False
2015-10-04,96,False
2015-10-11,100,False
2015-10-18,96,False
2015-10-25,94,False
2015-11-01,94,False
2015-11-08,95,False
2015-11-15,93,False
2015-11-22,77,False
2015-11-29,92,False
2015-12-06,93,False
2015-12-13,88,False
2015-12-20,79,False
2015-12-27,78,False
