geoName,nervous
Alabama,79
Alaska,71
Arizona,72
Arkansas,84
California,66
Colorado,69
Connecticut,67
Delaware,80
District of Columbia,46
Florida,74
Georgia,62
Hawaii,70
Idaho,78
Illinois,60
Indiana,79
Iowa,86
Kansas,81
Kentucky,82
Louisiana,68
Maine,84
Maryland,74
Massachusetts,67
Michigan,71
Minnesota,65
Mississippi,90
Missouri,66
Montana,81
Nebraska,74
Nevada,71
New Hampshire,77
New Jersey,73
New Mexico,82
New York,65
North Carolina,69
North Dakota,100
Ohio,78
Oklahoma,63
Oregon,66
Pennsylvania,73
Rhode Island,65
South Carolina,71
South Dakota,95
Tennessee,66
Texas,68
Utah,71
Vermont,77
Virginia,64
Washington,59
West Virginia,86
Wisconsin,75
Wyoming,73
