date,panic,isPartial
2016-01-03,56,False
2016-01-10,74,False
2016-01-17,100,False
2016-01-24,75,False
2016-01-31,70,False
2016-02-07,64,False
2016-02-14,69,False
2016-02-21,63,False
2016-02-28,59,False
2016-03-06,55,False
2016-03-13,55,False
2016-03-20,60,False
2016-03-27,62,False
2016-04-03,63,False
2016-04-10,66,False
2016-04-17,66,False
2016-04-24,62,False
2016-05-01,62,False
2016-05-08,60,False
2016-05-15,59,False
2016-05-22,56,False
2016-05-29,55,False
2016-06-05,58,False
2016-06-12,65,False
2016-06-19,69,False
2016-06-26,69,False
2016-07-03,63,False
2016-07-10,64,False
2016-07-17,61,False
2016-07-24,54,False
2016-07-31,57,False
2016-08-07,52,False
2016-08-14,47,False
2016-08-21,50,False
2016-08-28,47,False
2016-09-04,51,False
2016-09-11,54,False
2016-09-18,65,False
2016-09-25,71,False
2016-10-02,57,False
2016-10-09,56,False
2016-10-16,56,False
2016-10-23,54,False
2016-10-30,54,False
2016-11-06,48,False
2016-11-13,52,False
2016-11-20,48,False
2016-11-27,52,False
2016-12-04,50,False
2016-12-11,51,False
2016-12-18,51,False
2016-12-25,55,False
