date,physician,isPartial
2013-01-06,92,False
2013-01-13,90,False
2013-01-20,91,False
2013-01-27,94,False
2013-02-03,90,False
2013-02-10,85,False
2013-02-17,86,False
2013-02-24,94,False
2013-03-03,88,False
2013-03-10,86,False
2013-03-17,96,False
2013-03-24,91,False
2013-03-31,89,False
2013-04-07,100,False
2013-04-14,89,False
2013-04-21,93,False
2013-04-28,90,False
2013-05-05,91,False
2013-05-12,91,False
2013-05-19,87,False
2013-05-26,79,False
2013-06-02,89,False
2013-06-09,90,False
2013-06-16,80,False
2013-06-23,86,False
2013-06-30,76,False
2013-07-07,91,False
2013-07-14,85,False
2013-07-21,90,False
2013-07-28,91,False
2013-08-04,94,False
2013-08-11,91,False
2013-08-18,89,False
2013-08-25,93,False
2013-09-01,87,False
2013-09-08,96,False
2013-09-15,90,False
2013-09-22,91,False
2013-09-29,98,False
2013-10-06,95,False
2013-10-13,94,False
2013-10-20,94,False
2013-10-27,98,False
2013-11-03,89,False
2013-11-10,95,False
2013-11-17,92,False
2013-11-24,70,False
2013-12-01,84,False
2013-12-08,87,False
2013-12-15,76,False
2013-12-22,59,False
2013-12-29,72,False
