geoName,sadness
Alabama,78
Alaska,71
Arizona,82
Arkansas,82
California,91
Colorado,80
Connecticut,92
Delaware,57
District of Columbia,64
Florida,81
Georgia,66
Hawaii,73
Idaho,49
Illinois,84
Indiana,84
Iowa,56
Kansas,67
Kentucky,75
Louisiana,82
Maine,88
Maryland,79
Massachusetts,78
Michigan,74
Minnesota,77
Mississippi,66
Missouri,67
Montana,87
Nebraska,61
Nevada,87
New Hampshire,100
New Jersey,90
New Mexico,79
New York,86
North Carolina,70
North Dakota,92
Ohio,77
Oklahoma,83
Oregon,62
Pennsylvania,81
Rhode Island,80
South Carolina,73
South Dakota,79
Tennessee,78
Texas,80
Utah,71
Vermont,75
Virginia,71
Washington,76
West Virginia,100
Wisconsin,72
Wyoming,87
