date,shattered,isPartial
2011-01-02,100,False
2011-01-09,91,False
2011-01-16,87,False
2011-01-23,86,False
2011-01-30,87,False
2011-02-06,81,False
2011-02-13,80,False
2011-02-20,98,False
2011-02-27,85,False
2011-03-06,85,False
2011-03-13,77,False
2011-03-20,72,False
2011-03-27,93,False
2011-04-03,96,False
2011-04-10,82,False
2011-04-17,84,False
2011-04-24,86,False
2011-05-01,81,False
2011-05-08,87,False
2011-05-15,76,False
2011-05-22,63,False
2011-05-29,88,False
2011-06-05,78,False
2011-06-12,80,False
2011-06-19,75,False
2011-06-26,82,False
2011-07-03,76,False
2011-07-10,72,False
2011-07-17,82,False
2011-07-24,73,False
2011-07-31,68,False
2011-08-07,67,False
2011-08-14,66,False
2011-08-21,75,False
2011-08-28,67,False
2011-09-04,66,False
2011-09-11,63,False
2011-09-18,74,False
2011-09-25,71,False
2011-10-02,70,False
2011-10-09,67,False
2011-10-16,73,False
2011-10-23,60,False
2011-10-30,74,False
2011-11-06,60,False
2011-11-13,57,False
2011-11-20,69,False
2011-11-27,64,False
2011-12-04,63,False
2011-12-11,72,False
2011-12-18,67,False
2011-12-25,74,False
