geoName,studies
Alabama,78
Alaska,66
Arizona,62
Arkansas,82
California,64
Colorado,67
Connecticut,88
Delaware,77
District of Columbia,70
Florida,58
Georgia,67
Hawaii,67
Idaho,70
Illinois,60
Indiana,87
Iowa,71
Kansas,63
Kentucky,66
Louisiana,89
Maine,71
Maryland,83
Massachusetts,85
Michigan,72
Minnesota,66
Mississippi,85
Missouri,71
Montana,63
Nebraska,69
Nevada,50
New Hampshire,73
New Jersey,75
New Mexico,72
New York,76
North Carolina,86
North Dakota,76
Ohio,84
Oklahoma,60
Oregon,47
Pennsylvania,70
Rhode Island,100
South Carolina,68
South Dakota,66
Tennessee,73
Texas,62
Utah,68
Vermont,91
Virginia,62
Washington,55
West Virginia,86
Wisconsin,68
Wyoming,82
