geoName,tearful
Alabama,91
Alaska,0
Arizona,53
Arkansas,0
California,49
Colorado,31
Connecticut,40
Delaware,0
District of Columbia,42
Florida,42
Georgia,57
Hawaii,0
Idaho,0
Illinois,56
Indiana,31
Iowa,0
Kansas,0
Kentucky,52
Louisiana,94
Maine,0
Maryland,85
Massachusetts,51
Michigan,30
Minnesota,100
Mississippi,0
Missouri,70
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,65
New Mexico,0
New York,38
North Carolina,44
North Dakota,0
Ohio,29
Oklahoma,77
Oregon,20
Pennsylvania,55
Rhode Island,0
South Carolina,73
South Dakota,0
Tennessee,100
Texas,45
Utah,0
Vermont,0
Virginia,43
Washington,85
West Virginia,0
Wisconsin,74
Wyoming,0
