geoName,weepy
Alabama,39
Alaska,0
Arizona,74
Arkansas,14
California,53
Colorado,49
Connecticut,37
Delaware,0
District of Columbia,42
Florida,34
Georgia,58
Hawaii,84
Idaho,0
Illinois,33
Indiana,43
Iowa,57
Kansas,87
Kentucky,43
Louisiana,16
Maine,25
Maryland,100
Massachusetts,81
Michigan,64
Minnesota,83
Mississippi,0
Missouri,83
Montana,0
Nebraska,0
Nevada,30
New Hampshire,0
New Jersey,66
New Mexico,0
New York,40
North Carolina,25
North Dakota,0
Ohio,53
Oklahoma,82
Oregon,88
Pennsylvania,60
Rhode Island,0
South Carolina,64
South Dakota,0
Tennessee,41
Texas,47
Utah,50
Vermont,0
Virginia,60
Washington,78
West Virginia,99
Wisconsin,91
Wyoming,0
