date,weight loss,isPartial
2012-01-01,100,False
2012-01-08,87,False
2012-01-15,80,False
2012-01-22,74,False
2012-01-29,73,False
2012-02-05,74,False
2012-02-12,71,False
2012-02-19,78,False
2012-02-26,81,False
2012-03-04,77,False
2012-03-11,71,False
2012-03-18,73,False
2012-03-25,73,False
2012-04-01,92,False
2012-04-08,77,False
2012-04-15,78,False
2012-04-22,75,False
2012-04-29,74,False
2012-05-06,74,False
2012-05-13,75,False
2012-05-20,76,False
2012-05-27,77,False
2012-06-03,76,False
2012-06-10,78,False
2012-06-17,80,False
2012-06-24,83,False
2012-07-01,75,False
2012-07-08,78,False
2012-07-15,78,False
2012-07-22,72,False
2012-07-29,69,False
2012-08-05,73,False
2012-08-12,70,False
2012-08-19,68,False
2012-08-26,64,False
2012-09-02,65,False
2012-09-09,64,False
2012-09-16,65,False
2012-09-23,64,False
2012-09-30,64,False
2012-10-07,60,False
2012-10-14,58,False
2012-10-21,56,False
2012-10-28,55,False
2012-11-04,54,False
2012-11-11,58,False
2012-11-18,49,False
2012-11-25,64,False
2012-12-02,54,False
2012-12-09,49,False
2012-12-16,45,False
2012-12-23,58,False
2012-12-30,86,False
