date,wounded,isPartial
2012-01-01,56,False
2012-01-08,54,False
2012-01-15,57,False
2012-01-22,54,False
2012-01-29,65,False
2012-02-05,68,False
2012-02-12,63,False
2012-02-19,62,False
2012-02-26,64,False
2012-03-04,58,False
2012-03-11,60,False
2012-03-18,53,False
2012-03-25,56,False
2012-04-01,64,False
2012-04-08,54,False
2012-04-15,62,False
2012-04-22,64,False
2012-04-29,67,False
2012-05-06,68,False
2012-05-13,64,False
2012-05-20,63,False
2012-05-27,77,False
2012-06-03,60,False
2012-06-10,60,False
2012-06-17,55,False
2012-06-24,51,False
2012-07-01,60,False
2012-07-08,61,False
2012-07-15,63,False
2012-07-22,61,False
2012-07-29,57,False
2012-08-05,58,False
2012-08-12,60,False
2012-08-19,61,False
2012-08-26,61,False
2012-09-02,78,False
2012-09-09,76,False
2012-09-16,68,False
2012-09-23,62,False
2012-09-30,61,False
2012-10-07,91,False
2012-10-14,70,False
2012-10-21,81,False
2012-10-28,69,False
2012-11-04,98,False
2012-11-11,100,False
2012-11-18,71,False
2012-11-25,75,False
2012-12-02,72,False
2012-12-09,77,False
2012-12-16,79,False
2012-12-23,63,False
2012-12-30,64,False
